comune,comuneLabel,cordinate,comuneLabelCapital
http://www.wikidata.org/entity/Q16716,Bouhey,Point(4.668888888 47.200555555),BOUHEY
http://www.wikidata.org/entity/Q16717,Chailly-sur-Armançon,Point(4.484444444 47.271944444),CHAILLY-SUR-ARMANçON
http://www.wikidata.org/entity/Q16718,Châteauneuf,Point(4.641111111 47.218888888),CHâTEAUNEUF
http://www.wikidata.org/entity/Q16719,Châtellenot,Point(4.489166666 47.236111111),CHâTELLENOT
http://www.wikidata.org/entity/Q16720,Chazilly,Point(4.582222222 47.183333333),CHAZILLY
http://www.wikidata.org/entity/Q16721,Civry-en-Montagne,Point(4.611388888 47.291388888),CIVRY-EN-MONTAGNE
http://www.wikidata.org/entity/Q16725,Blancey,Point(4.465555555 47.303888888),BLANCEY
http://www.wikidata.org/entity/Q16745,Pouilly-en-Auxois,Point(4.555833333 47.262777777),POUILLY-EN-AUXOIS
http://www.wikidata.org/entity/Q16746,Mont-Saint-Jean,Point(4.401944444 47.2925),MONT-SAINT-JEAN
http://www.wikidata.org/entity/Q16747,Meilly-sur-Rouvres,Point(4.562777777 47.206944444),MEILLY-SUR-ROUVRES
http://www.wikidata.org/entity/Q16748,Martrois,Point(4.536944444 47.310833333),MARTROIS
http://www.wikidata.org/entity/Q16749,Marcilly-Ogny,Point(4.405833333 47.2525),MARCILLY-OGNY
http://www.wikidata.org/entity/Q16750,Maconge,Point(4.5775 47.220555555),MACONGE
http://www.wikidata.org/entity/Q16751,Essey,Point(4.526111111 47.205),ESSEY
http://www.wikidata.org/entity/Q16752,Éguilly,Point(4.500277777 47.303611111),ÉGUILLY
http://www.wikidata.org/entity/Q16753,Créancey,Point(4.585833333 47.246944444),CRéANCEY
http://www.wikidata.org/entity/Q16754,Commarin,Point(4.648888888 47.256666666),COMMARIN
http://www.wikidata.org/entity/Q16760,Vandenesse-en-Auxois,Point(4.615555555 47.219722222),VANDENESSE-EN-AUXOIS
http://www.wikidata.org/entity/Q16761,Thoisy-le-Désert,Point(4.524722222 47.246944444),THOISY-LE-DéSERT
http://www.wikidata.org/entity/Q16762,Semarey,Point(4.634166666 47.268055555),SEMAREY
http://www.wikidata.org/entity/Q16763,Sainte-Sabine,Point(4.624722222 47.191388888),SAINTE-SABINE
http://www.wikidata.org/entity/Q16764,Rouvres-sous-Meilly,Point(4.571944444 47.211388888),ROUVRES-SOUS-MEILLY
http://www.wikidata.org/entity/Q16770,Montagny-lès-Seurre,Point(5.253611111 47.023333333),MONTAGNY-LèS-SEURRE
http://www.wikidata.org/entity/Q16771,Losne,Point(5.263055555 47.098333333),LOSNE
http://www.wikidata.org/entity/Q16772,Laperrière-sur-Saône,Point(5.341388888 47.111666666),LAPERRIèRE-SUR-SAôNE
http://www.wikidata.org/entity/Q16773,Montot,Point(5.245833333 47.141111111),MONTOT
http://www.wikidata.org/entity/Q90,Paris,Point(2.351388888 48.856944444),PARIS
http://www.wikidata.org/entity/Q285,Cognac,Point(-0.329166666 45.695833333),COGNAC
http://www.wikidata.org/entity/Q288,Tours,Point(0.688333333 47.392777777),TOURS
http://www.wikidata.org/entity/Q342,Quimper,Point(-4.097777777 47.995833333),QUIMPER
http://www.wikidata.org/entity/Q343,La Flèche,Point(-0.076111111 47.699722222),LA FLèCHE
